"","line","name","notes","objectid","url","coords.x1","coords.x2"
"1","4-6-6 Express","Astor Pl","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",1,"http://web.mta.info/nyct/service/",-73.9910699986197,40.7300540002898
"2","4-6-6 Express","Canal St","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",2,"http://web.mta.info/nyct/service/",-74.0001929992733,40.7188030010771
"3","1-2","50th St","1-all times, 2-nights",3,"http://web.mta.info/nyct/service/",-73.9838489998663,40.7617279996142
"4","J-M-Z","Delancey St - Essex St","J-all times, M-all times exc nights, Z-rush hours AM westbound, PM eastbound",11,"http://web.mta.info/nyct/service/",-73.9874094020297,40.7183060561862
"5","4-5-6-6 Express","Brooklyn Bridge - City Hall","4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound",29,"http://web.mta.info/nyct/service/",-74.0041310005885,40.7130649994331
"6","4-5-6-6 Express","Grand Central - 42nd St","4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound",31,"http://web.mta.info/nyct/service/",-73.9767132992584,40.7518074298163
"7","4-6-6 Express","33rd St","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",32,"http://web.mta.info/nyct/service/",-73.9820760014895,40.7460809990914
"8","B-D-F-M","42nd St - Bryant Pk","B,M-weekdays and evenings, D,F-all times",60,"http://web.mta.info/nyct/service/",-73.9845909990471,40.7541840013125
"9","N-Q-R-W","Times Sq - 42nd St","N,Q-all times, R-all times exc nights, W part time",80,"http://web.mta.info/nyct/service/",-73.9867680015398,40.7546119985154
"10","S","Grand Central - 42nd St","S to Times Sq-all times exc nights, closed nights-use 7",81,"http://web.mta.info/nyct/service/",-73.979188999891,40.7527686667422
"11","B-D-F-M","W 4th St - Washington Sq (Lower)","B,M-weekdays and evenings, D,F-all times",84,"http://web.mta.info/nyct/service/",-74.0003081475597,40.7322544933679
"12","1-2","Canal St","1-all times, 2-nights",90,"http://web.mta.info/nyct/service/",-74.0062770001748,40.7228539977878
"13","4-6-6 Express","23rd St","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",92,"http://web.mta.info/nyct/service/",-73.9865990020789,40.7398640004746
"14","1-2","23rd St","1-all times, 2-nights",96,"http://web.mta.info/nyct/service/",-73.9956570016487,40.7440809998975
"15","1-2","Houston St","1-all times, 2-nights",97,"http://web.mta.info/nyct/service/",-74.0053670018058,40.7282510007302
"16","4-5-6-6 Express","Union Sq - 14th St","4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound",105,"http://web.mta.info/nyct/service/",-73.9899509988188,40.7346730009961
"17","N-Q-R-W","28th St","N-all times, R-all times exc nights, part time",144,"http://web.mta.info/nyct/service/",-73.9886980012874,40.7454539997995
"18","N-Q-R-W","Herald Sq - 34th St","N,Q-all times, R-all times exc nights",145,"http://web.mta.info/nyct/service/",-73.9879368338264,40.7496445600944
"19","L","1st Ave","L-all times",146,"http://web.mta.info/nyct/service/",-73.9816808748913,40.7309749758007
"20","S","Times Sq - 42nd St","S to Grand Central-all times exc nights, closed nights-use 7",147,"http://web.mta.info/nyct/service/",-73.986228999532,40.7559830005701
"21","1-2","Christopher St - Sheridan Sq","1-all times, 2-nights",195,"http://web.mta.info/nyct/service/",-74.0029059985524,40.7334220010422
"22","7-7 Express","Times Sq - 42nd St","7-all times, 7 Express-rush hours AM westbound, PM eastbound",197,"http://web.mta.info/nyct/service/",-73.9876909982515,40.7554770019825
"23","1-2","28th St","1-all times, 2-nights",199,"http://web.mta.info/nyct/service/",-73.9933650013432,40.7472149991822
"24","4-6-6 Express","28th St","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",200,"http://web.mta.info/nyct/service/",-73.9842640011041,40.743069999259
